"","GDPM"
"1965:01",2823.691830
"1965:02",2858.015766
"1965:03",2906.428408
"1965:04",2907.736029
"1965:05",2910.418859
"1965:06",2897.697097
"1965:07",2932.763116
"1965:08",2949.000311
"1965:09",2979.270556
"1965:10",3020.786010
"1965:11",3025.210849
"1965:12",3041.415144
"1966:01",3064.561133
"1966:02",3087.848419
"1966:03",3128.938441
"1966:04",3120.390015
"1966:05",3094.200987
"1966:06",3098.491005
"1966:07",3113.912341
"1966:08",3125.634393
"1966:09",3146.221269
"1966:10",3142.113409
"1966:11",3152.438798
"1966:12",3154.061787
"1967:01",3172.211298
"1967:02",3186.321547
"1967:03",3190.547143
"1967:04",3200.420940
"1967:05",3195.037869
"1967:06",3182.506193
"1967:07",3199.422765
"1967:08",3245.365130
"1967:09",3205.759096
"1967:10",3198.707642
"1967:11",3253.815689
"1967:12",3267.070680
"1968:01",3303.086396
"1968:02",3281.091474
"1968:03",3303.699128
"1968:04",3348.843811
"1968:05",3359.884779
"1968:06",3337.507405
"1968:07",3365.481304
"1968:08",3405.267016
"1968:09",3352.939667
"1968:10",3404.638846
"1968:11",3398.066403
"1968:12",3374.548733
"1969:01",3436.913705
"1969:02",3437.210474
"1969:03",3455.418785
"1969:04",3448.300425
"1969:05",3451.077039
"1969:06",3421.789520
"1969:07",3448.630296
"1969:08",3470.014018
"1969:09",3453.917664
"1969:10",3463.742605
"1969:11",3426.150826
"1969:12",3424.017560
"1970:01",3413.829953
"1970:02",3454.403943
"1970:03",3434.601100
"1970:04",3448.808421
"1970:05",3413.135316
"1970:06",3444.621248
"1970:07",3481.192178
"1970:08",3485.114173
"1970:09",3445.423620
"1970:10",3442.425833
"1970:11",3444.457495
"1970:12",3456.295670
"1971:01",3535.784741
"1971:02",3513.517010
"1971:03",3544.756239
"1971:04",3548.207876
"1971:05",3549.640084
"1971:06",3545.859018
"1971:07",3551.361014
"1971:08",3572.287128
"1971:09",3582.217852
"1971:10",3571.575078
"1971:11",3576.464537
"1971:12",3617.216385
"1972:01",3651.355310
"1972:02",3612.805971
"1972:03",3688.841696
"1972:04",3721.459836
"1972:05",3745.226294
"1972:06",3730.791856
"1972:07",3729.724252
"1972:08",3793.676980
"1972:09",3781.164779
